=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2022.11.21 17:05:17 =~=~=~=~=~=~=~=~=~=~=~=,,,
X,Y,Z,M
-1.08,-0.39,-0.59,1.29
-0.78,-0.39,-0.39,0.96
-1.27,-0.39,-0.69,1.5
-0.78,-0.49,-0.49,1.05
-0.98,-0.39,0,1.06
-0.88,-0.2,0,0.9
-0.88,-0.2,-0.49,1.03
-0.78,-0.29,0,0.84
-0.88,-0.49,0,1.01
-0.98,-0.69,0,1.2
-0.88,-0.39,0,0.96
-0.98,0,0,0.98
-0.78,-0.39,0,0.88
-0.98,-0.49,0,1.1
-0.98,-0.49,-0.39,1.16
-1.18,-0.39,0,1.24
-0.69,-0.29,0,0.75
-0.88,-0.29,0,0.93
-0.98,-0.59,0,1.14
-0.88,-0.59,0,1.06
-0.88,-0.78,0,1.18
-0.78,-0.49,-0.49,1.05
-0.88,-0.59,-0.39,1.13
-0.59,-0.2,-0.59,0.85
-1.18,-0.49,-0.49,1.36
-0.98,-0.39,-0.69,1.26
-0.98,-0.39,0,1.06
-0.78,-0.69,0,1.04
-0.78,-0.59,-0.39,1.06
-1.08,-0.2,0,1.1
-0.88,-0.49,-0.49,1.12
-0.78,-0.39,-0.29,0.92
-0.88,-0.39,-0.29,1.01
-0.78,0,-0.29,0.84
-0.88,-0.49,-0.29,1.05
-0.88,-0.49,-0.59,1.17
-0.78,-0.59,0,0.98
-0.88,-0.59,-0.39,1.13
-0.88,-0.29,0,0.93
-0.88,-0.39,-0.69,1.18
-0.69,-0.39,-0.29,0.84
-0.98,-0.39,-0.49,1.16
-0.88,0,0,0.88
-0.78,-0.59,0,0.98
-0.59,-0.69,0,0.9
-0.98,-0.2,-0.2,1.02
-0.88,-0.39,-0.29,1.01
-0.78,-0.39,-0.2,0.9
-0.78,-0.78,-0.39,1.18
-0.69,-0.49,-0.39,0.93
-1.08,-0.49,-0.59,1.32
-0.78,-0.39,-0.29,0.92
-0.88,-0.49,-0.59,1.17
-0.78,0,0,0.78
-0.78,-0.29,-0.59,1.02
-0.88,-0.2,0,0.9
-0.98,-0.49,-0.39,1.16
-0.69,-0.39,0,0.79
-0.59,-0.2,0,0.62
-0.88,-0.39,0,0.96
-0.78,-0.39,0,0.88
-0.98,-0.39,-0.39,1.13
-0.88,-0.1,-0.59,1.06
-0.78,-0.2,0,0.81
-0.88,-0.78,-0.29,1.22
-0.78,-0.2,-0.2,0.83
-0.98,-0.59,-0.49,1.24
-0.69,-0.59,0,0.9
-1.18,-0.29,0,1.21
-0.98,0,-0.39,1.06
-0.98,-0.69,-0.2,1.21
-1.08,-0.2,-0.29,1.13
-0.69,-0.59,-0.59,1.08
-0.59,-0.49,0,0.77
-0.88,-0.59,-0.49,1.17
-0.69,-0.39,-0.2,0.81
-0.59,-0.49,0,0.77
-0.69,-0.49,-0.39,0.93
-0.88,-0.59,-0.29,1.1
-0.88,-0.39,-0.39,1.04
-0.69,-0.39,0,0.79
-0.88,0,0,0.88
-0.78,-0.2,0,0.81
-0.78,-0.59,-0.29,1.02
-0.88,-0.69,0,1.12
-0.98,-0.59,-0.39,1.21
-0.88,-0.59,0,1.06
-0.69,-1.08,-0.39,1.34
-0.69,-0.49,-0.29,0.89
-0.78,-0.39,-0.29,0.92
-0.78,-0.49,0,0.92
-0.59,-0.78,0,0.98
-0.88,-0.49,0,1.01
-0.78,-0.69,0,1.04
-0.69,-0.29,0,0.75
-0.69,-0.49,-0.29,0.89
-0.78,-0.59,-0.39,1.06
-0.88,-0.49,0,1.01
-1.08,-0.49,0,1.18
-0.78,-0.49,0,0.92
-0.78,-0.59,-0.29,1.02
-0.98,-0.49,-0.29,1.13
-0.88,-0.78,-0.2,1.2
-0.78,-0.49,0,0.92
-0.88,-0.39,-0.49,1.08
-0.98,-0.29,0,1.02
-0.98,-0.39,-0.49,1.16
-0.78,-0.69,-0.29,1.08
-0.88,-0.49,0,1.01
-0.98,-0.78,-0.39,1.31
-0.98,-0.39,-0.29,1.1
-0.69,-0.39,0,0.79
-0.78,-0.39,0,0.88
-0.98,-0.49,0,1.1
-0.69,-0.49,0,0.84
-0.69,-0.49,-0.59,1.03
-0.98,-0.49,-0.29,1.13
-0.88,-0.29,-0.29,0.97
-0.98,0,-0.39,1.06
-0.88,-0.59,0,1.06
-0.88,-0.59,0,1.06
-0.78,-0.2,0,0.81
-0.59,-0.49,0,0.77
-0.69,-0.29,-0.29,0.8
-0.78,-0.2,0,0.81
-0.78,-0.49,-0.29,0.97
-0.88,0,-0.39,0.96
-0.78,-0.49,0,0.92
-0.78,-0.39,0,0.88
-0.88,-0.49,0,1.01
-0.88,-0.49,0,1.01
-1.18,-0.2,-0.29,1.23
-0.78,-0.49,-0.29,0.97
-0.98,-0.49,0,1.1
-0.59,-0.49,-0.39,0.86
-0.98,-0.39,-0.39,1.13
-0.69,-0.59,-0.29,0.95
-0.88,-0.39,-0.29,1.01
-0.78,-0.69,0,1.04
-0.88,-0.39,-0.29,1.01
-0.88,-0.59,-0.29,1.1
-0.78,-0.39,-0.39,0.96
-0.88,-0.29,0,0.93
-0.78,-0.49,-0.29,0.97
-0.88,-0.69,0,1.12
-0.78,-0.29,-0.39,0.92
-0.88,0,-0.29,0.93
-0.88,-0.49,0,1.01
-0.88,-0.49,0,1.01
-0.88,-0.39,-0.39,1.04
-0.78,-0.59,-0.39,1.06
-0.78,-0.39,-0.49,1
-0.69,-0.69,-0.39,1.05
-1.08,-0.39,-0.39,1.21
-0.98,-0.39,0.1,1.06
-0.59,-0.49,-0.39,0.86
-0.78,-0.2,0,0.81
-0.78,-0.39,-0.59,1.06
-0.78,-0.2,0,0.81
-0.78,-0.49,-0.29,0.97
-0.69,0,-0.29,0.75
-0.69,-0.2,-0.39,0.81
-0.98,-0.29,0,1.02
-0.98,-0.39,-0.29,1.1
-0.69,-0.59,-0.39,0.98
-0.88,-0.69,0,1.12
-0.88,-0.69,0,1.12
-0.69,-0.29,0,0.75
-0.98,-0.49,-0.49,1.2
-0.69,-0.29,-0.29,0.8
-0.88,-0.69,0,1.12
-0.59,-0.39,-0.29,0.77
-0.78,-0.49,-0.69,1.15
-0.88,-0.29,-0.29,0.97
-0.69,0,-0.39,0.79
-0.78,0,0,0.78
-0.98,-0.39,-0.69,1.26
-0.78,-0.29,-0.39,0.92
-0.98,-0.39,-0.49,1.16
-0.88,-0.39,-0.29,1.01
-0.69,0,0,0.69
-0.78,-0.59,0,0.98
-0.88,-0.39,-0.2,0.98
-0.78,-0.39,-0.39,0.96
-0.78,-0.2,-0.59,1
-0.78,-0.49,-0.39,1
-0.98,-0.29,-0.78,1.29
-0.69,-0.39,0,0.79
-0.59,-0.29,-0.29,0.72
-0.69,-0.2,0,0.71
-1.08,-0.39,-0.29,1.18
-0.88,-0.2,-0.29,0.95
-0.69,-0.59,0,0.9
-0.59,-0.39,-0.39,0.81
-0.78,-0.78,-0.39,1.18
-0.69,-0.59,-0.29,0.95
-0.88,0,-0.49,1.01
-0.78,-0.49,-0.29,0.97
-0.88,-0.39,-0.29,1.01
-0.78,-0.39,0,0.88
-0.78,-0.39,-0.39,0.96
-0.78,0,-0.39,0.88
-0.59,-0.39,0,0.71
-0.78,-0.29,0,0.84
-0.88,-0.29,0,0.93
-0.59,-0.39,0,0.71
-0.98,-0.2,-0.39,1.07
-0.59,-0.59,-0.49,0.96
-0.88,-0.49,-0.49,1.12
-0.88,-0.2,0,0.9
-0.88,-0.39,-0.29,1.01
-0.78,-0.39,-0.39,0.96
-0.78,-0.39,0,0.88
-0.69,-0.2,0.1,0.72
-0.39,-0.49,0,0.63
-0.88,0,-0.59,1.06
-0.78,-0.49,-0.2,0.94
-0.88,-0.2,-0.39,0.98
-0.69,-0.29,-0.39,0.84
-0.78,-0.59,-0.29,1.02
-0.69,-0.59,0,0.9
-0.78,-0.39,-0.29,0.92
-0.78,-0.39,0,0.88
-0.59,0,-0.59,0.83
-0.88,-0.49,-0.39,1.08
-0.98,-0.39,-0.49,1.16
-0.98,0,0,0.98
-0.88,-0.29,-0.29,0.97
-1.08,-0.39,-0.59,1.29
-0.98,0,-0.49,1.1
-0.98,-0.29,-0.49,1.13
-0.78,-0.29,0.29,0.89
-0.69,-0.29,-0.59,0.95
-0.88,-0.29,-0.69,1.16
-0.88,-0.49,-0.29,1.05
-0.78,-0.49,0,0.92
-0.88,-0.59,-0.78,1.32
-0.59,-0.49,0,0.77
-0.78,-0.2,0,0.81
-0.78,-0.29,-0.29,0.89
-0.69,-0.39,0,0.79
-0.78,0,0,0.78
-0.78,-0.2,-0.29,0.86
-0.78,-0.39,-0.29,0.92
-0.49,-0.39,-0.39,0.74
-0.49,-0.59,-0.59,0.96
-0.59,-0.49,-0.29,0.82
-0.78,-0.39,-0.39,0.96
-0.88,-0.39,0,0.96
-0.78,-0.69,-0.29,1.08
-0.69,-0.39,0,0.79
-0.78,-0.69,-0.39,1.11
-0.69,-0.2,-0.39,0.81
-0.69,-0.39,-0.39,0.88
-0.59,-0.2,-0.39,0.73
-0.59,-0.49,0,0.77
-0.69,-0.39,0,0.79
-0.78,-0.39,-0.29,0.92
-0.69,-0.39,-0.39,0.88
-0.69,-0.39,0,0.79
-0.69,-0.49,0,0.84
-0.88,-0.39,0,0.96
-0.59,-0.59,-0.39,0.92
-0.78,-0.29,-0.59,1.02
-0.69,-0.39,0,0.79
-0.69,-0.39,-0.49,0.93
-0.49,0,0,0.49
-0.49,-0.78,-0.39,1
-0.69,-0.39,-0.29,0.84
-0.69,-0.39,0,0.79
-0.69,-0.39,-0.49,0.93
-0.59,-0.39,-0.49,0.86
-0.59,-0.49,0,0.77
-0.59,0,-0.69,0.9
-0.59,-0.39,-0.49,0.86
-0.88,-0.39,-0.29,1.01
-0.49,-0.49,0,0.69
-0.49,-0.59,0,0.77
-0.49,-0.69,-0.2,0.87
-0.49,-0.59,-0.59,0.96
-0.59,-0.98,0,1.14
-0.98,-0.39,-0.88,1.38
-0.39,-0.2,-0.69,0.81
-0.59,-0.49,-0.39,0.86
-0.69,-0.39,-0.49,0.93
-0.49,-0.49,-0.59,0.91
-0.49,-0.29,-0.59,0.82
-0.39,-0.49,-0.39,0.74
-0.69,-0.29,0,0.75
-0.59,-0.29,-0.49,0.82
-0.69,-0.59,-0.69,1.13
-0.59,-0.2,-0.49,0.79
-0.59,-0.59,-0.78,1.14
-0.49,-0.88,-0.49,1.12
-0.59,-0.49,-0.69,1.03
-0.49,-0.59,0,0.77
-0.2,-0.88,-0.39,0.98
-0.49,-0.59,-0.49,0.91
-0.39,-0.39,-0.29,0.63
-0.49,-0.49,-0.39,0.8
-0.39,-0.39,-0.49,0.74
-0.49,-0.59,-0.39,0.86
-0.39,-0.29,-0.49,0.69
-0.69,-0.2,-0.59,0.92
-0.49,-0.39,-0.29,0.69
-0.39,-0.39,-0.49,0.74
-0.39,-0.49,-0.49,0.8
-0.29,-0.88,0,0.93
-0.29,-0.39,-0.69,0.84
-0.29,-0.59,-0.49,0.82
-0.39,-0.59,-0.49,0.86
0,-0.69,0,0.69
0,-0.39,-0.39,0.55
-0.39,-0.29,-0.69,0.84
0,-0.49,-0.49,0.69
0,-0.59,-0.59,0.83
-0.39,-0.39,-0.29,0.63
-0.2,-0.39,-0.49,0.66
0,-0.39,-0.39,0.55
-0.29,-0.49,-0.39,0.69
0,-0.2,0,0.2
0,-0.49,-0.39,0.63
-0.29,-0.49,-0.29,0.64
-0.29,-0.39,0,0.49
-0.1,-0.49,0,0.5
-0.2,-0.29,-0.39,0.53
-0.29,-0.69,-0.69,1.01
0,-0.29,-0.39,0.49
0.2,-0.39,0,0.44
-0.2,-0.29,-0.39,0.53
0,-0.69,-0.39,0.79
0,-0.49,-0.39,0.63
0.1,0,-0.39,0.4
0,-0.49,-0.69,0.84
0,-0.2,-0.88,0.9
0.1,-0.39,-0.49,0.63
0,-0.2,-0.59,0.62
0.1,-0.29,-0.59,0.66
0.1,-0.49,-0.69,0.85
0,-0.69,-0.49,0.84
0,-0.29,-0.49,0.57
0.1,-0.59,-0.88,1.06
0.2,-0.29,-0.59,0.69
0.2,-0.49,-0.29,0.6
0.2,-0.39,-0.88,0.98
0.29,-0.39,-0.69,0.84
0.2,-0.39,-0.69,0.81
0.29,-0.49,-0.59,0.82
0.29,-0.49,-0.88,1.05
0.39,-0.39,-0.49,0.74
0.1,-0.29,-0.78,0.84
0.29,-0.49,-0.49,0.75
0.29,-0.59,-0.59,0.88
0.59,-0.39,-0.49,0.86
0.59,-0.29,-0.59,0.88
0.59,-0.49,-0.88,1.17
0.29,-0.2,-0.39,0.53
0.49,-0.49,-0.49,0.85
0.49,-0.39,-0.49,0.8
0.49,-0.39,-0.39,0.74
0.78,-0.29,-0.49,0.97
0.29,-0.29,-0.59,0.72
0.59,-0.59,-0.59,1.02
0.59,-0.59,-0.69,1.08
0.49,-0.59,-0.78,1.1
0.88,0,-0.78,1.18
0.78,-0.49,-0.78,1.21
0.88,-0.39,-0.59,1.13
0.39,-0.49,-0.88,1.08
0.78,-0.2,-0.69,1.06
0.88,-0.59,-0.69,1.26
0.78,-0.69,-0.39,1.11
1.08,-0.29,-0.49,1.22
1.08,-0.39,-0.59,1.29
1.08,-0.39,-0.69,1.34
1.08,-0.59,-0.49,1.32
1.08,-0.59,-0.59,1.36
1.08,-0.29,-0.39,1.18
1.27,-0.59,-0.49,1.49
1.08,-0.2,-0.59,1.24
1.08,-0.59,-0.78,1.46
1.27,-0.49,-0.39,1.42
1.37,-0.39,-0.88,1.68
1.37,-0.49,-0.69,1.61
1.37,-0.69,-0.69,1.68
1.18,-0.39,-0.39,1.3
1.27,-0.39,-0.78,1.55
1.27,-0.39,-0.49,1.42
1.27,-0.29,-0.59,1.43
1.67,-0.78,-0.78,2
1.57,-0.69,-0.78,1.88
1.47,-0.49,-0.69,1.69
2.06,0,-0.39,2.09
3.62,0,-1.18,3.81
1.76,-1.37,-0.78,2.37
0.2,0.1,-1.08,1.1
1.67,0.29,-1.18,2.06
2.25,-0.98,-0.69,2.55
2.65,-1.18,-0.78,3
2.25,-0.69,-0.39,2.39
1.86,-0.29,-0.78,2.04
1.96,0.1,-0.39,2
2.35,-0.39,-1.08,2.62
2.16,-0.78,-0.69,2.39
2.45,-0.69,-0.78,2.66
2.16,-0.2,-0.69,2.27
2.55,-0.29,-0.49,2.61
2.45,-0.49,0,2.5
2.55,0,5.88,6.41
-50.26,-5.78,-13.23,52.29
76.02,44.28,-6.86,88.24
16.46,-19.5,-31.35,40.42
-32.33,-3.23,-13.13,35.04
34.39,19.69,-33.99,52.21
-41.05,-5.68,-1.96,41.49
-16.85,-8.91,8.43,20.84
35.07,11.56,-5.09,37.28
7.45,-5.88,0.1,9.49
4.31,-2.55,-2.45,5.57
-2.06,1.67,2.84,3.88
-2.16,0.88,0.98,2.53
-2.25,8.43,-3.43,9.37
0,0.29,-2.35,2.37
1.08,-1.27,-1.76,2.43
-5.19,-2.45,-2.84,6.41
0.69,-1.18,0,1.36
0.29,0,0.2,0.35
-0.69,-1.37,0.29,1.56
-0.2,-0.88,0.69,1.13
-0.88,-0.39,0.59,1.13
-0.78,0,-0.49,0.92
-0.69,0,2.74,2.83
-0.59,0,1.27,1.4
2.16,-2.65,-2.35,4.14
-1.67,-3.62,-2.06,4.49
0,-1.76,-2.06,2.71
1.86,0.29,0,1.88
-1.86,-0.98,-1.57,2.62
0.49,-4.6,-4.6,6.53
0.39,-2.84,2.74,3.97
-3.72,3.04,2.55,5.44
1.57,1.37,-3.33,3.93
3.72,-7.54,-10.48,13.44
-0.69,-1.67,0.2,1.81
1.37,-0.49,-4.51,4.74
-2.16,0.29,-2.84,3.58
-3.13,-2.65,0.1,4.1
3.62,0.1,0.1,3.63
0.39,0,0.1,0.4
-1.86,0,-1.86,2.63
1.86,0,0,1.86
1.18,-1.57,0.69,2.08
-0.39,0.39,-0.39,0.68
1.76,0,-0.98,2.02
-0.69,-1.27,-1.37,1.99
-1.37,-1.57,0,2.08
1.57,0,0.2,1.58
1.76,0.1,-1.18,2.12
-0.39,-0.98,0.2,1.07
0.1,-0.59,0,0.6
0.2,-0.39,-0.69,0.81
18.91,49.47,55.06,76.4
4.11,-40.07,36.05,54.06
-12.34,3.13,-9.8,16.07
-1.86,-9.89,-7.54,12.58
-10.58,12.54,-16.56,23.31
-6.07,-2.55,2.25,6.96
0.98,0.49,2.45,2.68
-5,-2.45,2.06,5.93
0.39,-5.39,-2.55,5.97
1.57,-3.13,-0.49,3.54
-4.41,0.59,-1.47,4.68
3.13,-0.39,-3.82,4.96
-2.55,0.78,0.88,2.81
1.27,-0.29,-2.74,3.04
-1.47,1.67,5.49,5.92
2.16,0.29,-3.43,4.06
1.27,-1.47,-1.18,2.27
2.25,1.47,-0.29,2.71
-0.78,0.78,1.47,1.84
-2.06,-1.27,2.06,3.18
0.49,-1.18,-0.59,1.4
-0.59,-0.69,1.76,1.98
1.27,-1.08,0,1.67
0,-0.98,0.78,1.25
0.59,0,1.96,2.05
0.1,0.2,0,0.22
0,-1.27,0.69,1.45
0.1,0,0.39,0.4
0,0,0.69,0.69
0.29,-0.49,0.88,1.05
0,-0.69,1.37,1.53
0.39,-0.39,1.37,1.48
0.2,-0.2,0.49,0.56
0,0.29,0,0.29
0.39,0,0.59,0.71
0,-0.49,1.76,1.83
0.1,0,0.39,0.4
0.2,0.2,0.39,0.48
0.1,-0.69,0.2,0.72
0,0,1.27,1.27
0,0,0.29,0.29
0.1,-0.2,0.49,0.54
0.2,0,0.29,0.35
0.1,0.1,0.88,0.89
0,0,0.59,0.59
0,0.49,0.98,1.1
0,0.1,0.49,0.5
0.1,0,1.08,1.08
0,0,0.69,0.69
0,-0.49,0.59,0.77
0,-0.29,0.29,0.42
0.1,0,0.78,0.79
0.2,0.1,0.78,0.81
-0.2,0,0.2,0.28
0.1,-0.2,1.18,1.2
0.39,-0.39,0.49,0.74
0.2,-0.59,0.59,0.85
0.1,-0.98,0.69,1.2
0.1,-0.78,0.78,1.11
0.2,-0.59,1.08,1.24
0.1,-1.08,0.1,1.09
0.1,-1.08,0.2,1.1
0,-1.67,1.08,1.98
0,-0.98,0.29,1.02
0.29,-1.67,0.69,1.82
0.1,-1.27,0.98,1.61
0.2,-0.78,0.49,0.94
0,-0.39,0.78,0.88
0.29,-0.88,0.59,1.1
0.2,-1.27,0.98,1.62
0.29,-1.18,0.78,1.44
0,-1.27,0.88,1.55
0.1,-1.08,0.59,1.23
0,-0.88,0.39,0.96
0.2,-1.27,0.39,1.35
0.1,-1.37,0.88,1.63
0,-0.88,0.78,1.18
0.2,-0.98,0.29,1.04
0.2,-0.69,0.59,0.92
0.39,-0.49,0.59,0.86
0,-1.08,0.59,1.23
0,-0.69,0.69,0.97
0,-0.49,0.69,0.84
0.1,0,1.18,1.18
0,0,0,0
0.1,0,0.69,0.69
0,0,0.69,0.69
0.1,0,0.88,0.89
0.1,0,0.69,0.69
0.1,0,0.98,0.98
0,0.2,0.98,1
0,0,0.69,0.69
0.2,0,0.69,0.71
0.2,-0.39,1.27,1.35
0.1,-0.29,1.27,1.31
0.1,0.1,0.78,0.8
0.29,-0.39,1.47,1.55
0.39,-0.78,2.06,2.24
0.39,-0.29,1.76,1.83
0.29,-0.29,1.57,1.62
0.1,0,1.76,1.77
0.29,0,1.67,1.69
0.39,-0.49,2.25,2.34
0.1,-0.69,1.96,2.08
0,0.2,2.35,2.36
0,0,2.06,2.06
0.2,0,2.45,2.46
0.29,-0.2,2.45,2.47
0,0,2.74,2.74
0.29,-0.29,2.45,2.48
0.39,-0.49,2.16,2.24
0.29,-0.29,2.25,2.29
0.2,0,2.35,2.36
0,-0.2,2.55,2.55
0.1,0,2.65,2.65
0.59,-0.29,2.45,2.54
0.2,-0.2,2.16,2.17
0.29,-0.49,2.55,2.61
0.59,-0.39,2.35,2.46
0.2,-0.59,2.35,2.43
0,-0.29,2.16,2.18
0.29,-0.59,2.45,2.54
0.39,-0.39,2.35,2.42
0,-0.78,2.74,2.85
-0.29,0,3.43,3.44
0.78,-0.98,2.35,2.66
0.39,-0.78,2.45,2.6
0,-0.78,2.16,2.29
0.59,-0.69,2.55,2.7
0.39,-0.88,2.35,2.54
0.49,-0.59,1.67,1.83
0.29,-0.88,2.25,2.44
0.49,-0.78,2.06,2.26
0.59,-0.78,2.25,2.46
0.49,-0.88,2.35,2.56
0.49,-0.69,2.65,2.78
0.59,-0.88,2.06,2.31
0.59,-0.59,2.65,2.77
0.49,-0.88,1.96,2.2
0.49,-0.78,2.06,2.26
0.49,-0.98,2.25,2.51
0.49,-0.98,1.96,2.24
0.39,-0.78,1.86,2.06
0.59,-0.59,2.16,2.31
0.49,-0.69,2.35,2.5
0.59,-0.98,1.86,2.18
0.59,-0.69,1.86,2.07
0.59,-0.59,1.47,1.69
0.29,0.2,1.76,1.8
0.69,-0.49,1.76,1.95
0.59,-0.2,1.67,1.78
0.59,0,2.06,2.14
0.98,0,1.47,1.77
0.59,-0.78,1.67,1.93
0.78,-0.59,1.27,1.61
0.78,0,1.18,1.41
0.78,-0.49,1.37,1.65
0.39,0,1.18,1.24
0.49,-0.2,1.47,1.56
0.39,-0.29,0.78,0.92
0.69,0.1,1.08,1.28
0.59,-0.29,0.88,1.1
0.59,-0.29,1.08,1.26
0.59,0,0.88,1.06
0.49,-0.49,1.27,1.45
0.49,0,0.98,1.1
0.49,0,1.08,1.18
0.39,-0.39,0.78,0.96
0.49,-0.29,0.69,0.89
0.49,0,0.59,0.77
0.78,0,0.88,1.18
1.08,0,0.29,1.12
0.78,-0.39,0.29,0.92
0.98,0,0.69,1.2
0.49,-0.2,1.08,1.2
0.29,0.69,0.88,1.16
0.78,-0.2,0.49,0.94
0.39,-0.69,0.88,1.18
0.59,-0.88,1.27,1.66
0.39,0.1,0.29,0.5
0.69,-0.49,0.49,0.97
0.2,-0.59,0.39,0.73
0.88,0,0.49,1.01
0.39,-0.39,0.2,0.59
0.1,-0.49,0.1,0.51
0.49,-0.88,0.88,1.34
0.39,-0.69,0.69,1.05
0.29,-0.39,0.49,0.69
0.59,-0.69,0.59,1.08
0.59,-0.49,0.49,0.91
0.59,-0.69,0.1,0.91
0.29,-0.29,0.49,0.64
0.1,-0.59,0.29,0.66
0.2,-0.49,0.1,0.54
0.39,-0.29,0.59,0.77
0.29,-0.39,0.78,0.92
0.59,-0.59,0.78,1.14
0.2,-0.2,0.69,0.74
0,-0.49,0.59,0.77
0.59,-0.39,0.29,0.77
0.29,-0.39,0.1,0.5
0.59,-0.59,0.1,0.84
0.49,-0.59,0.1,0.77
0.2,-0.49,0.29,0.6
0.29,-0.49,0.1,0.58
0.2,-0.59,0.39,0.73
0.29,-0.39,0.29,0.57
0.39,-0.39,0.2,0.59
0.39,-0.69,0.1,0.8
0.2,-0.39,0.49,0.66
0.2,-0.39,0,0.44
0,-0.29,0.1,0.31
0,0,0.2,0.2
0.1,-0.59,0.1,0.6
0,-0.39,0,0.39
0.1,-0.2,0.29,0.37
0,-0.49,0.49,0.69
0.1,-0.49,0.39,0.63
0,-0.39,0,0.39
0.2,-0.2,0,0.28
0.2,-0.49,0.2,0.56
0.1,-0.59,0,0.6
0,-0.29,0,0.29
0.2,-0.59,0.2,0.65
0,-0.39,0.29,0.49
0,-0.59,0.2,0.62
0,-0.78,0.2,0.81
0.2,-0.59,0.1,0.63
0.2,-0.59,0,0.62
0,-0.39,0,0.39
0,-0.69,0,0.69
0,-0.69,0,0.69
0.2,-0.59,0,0.62
0.1,-0.59,0,0.6
0,-0.39,0.1,0.4
0,-0.59,0,0.59
0,-0.69,0,0.69
0,-0.39,0.2,0.44
0,-0.59,-0.29,0.66
0,-0.2,0,0.2
0,-0.69,0,0.69
0,-0.29,0,0.29
0,-0.59,0.1,0.6
-0.2,-0.69,0,0.71
0,-0.49,0,0.49
0,-0.59,0,0.59
0,-0.78,-0.29,0.84
0,-0.69,0.1,0.69
0,-0.88,0,0.88
0,-0.39,0,0.39
0,-0.59,0,0.59
